"Encuesta Nacional de Ingresos y Gastos de los Hogares 2022 Nueva Serie	",
"	",
"Nombre de archivo	Título de Tablas",
"conjunto_de_datos_agro_enigh_2022_ns	",Negocios agropecuarios de los hogares
conjunto_de_datos_agroconsumo_enigh_2022_ns,"Destino, cantidad y valor de los productos del negocio del hogar "
conjunto_de_datos_agrogasto_enigh_2022_ns,Gasto que realiza el negocio del Hogar 
conjunto_de_datos_agroproductos_enigh_2022_ns,Productos de los negocios agrícolas del hogar 
"conjunto_de_datos_concentradohogar_enigh_2022_ns	",Principales variables por hogar
"conjunto_de_datos_erogaciones_enigh_2022_ns	",Erogaciones de capital por hogar
"conjunto_de_datos_gastoshogar_enigh_2022_ns	",Gastos en los hogares
"conjunto_de_datos_gastospersona_enigh_2022_ns	",Gastos realizados en el hogar a nivel integrante
"conjunto_de_datos_gastotarjetas_enigh_2022_ns	",Gastos realizados por el hogar y que fueron cubiertos mediante alguna tarjeta de crédito bancaria y/o comercial
"conjunto_de_datos_hogares_enigh_2022_ns	",Características de los hogares que habitan los integrantes del hogar
"conjunto_de_datos_ingresos_enigh_2022_ns	",Ingresos y percepciones financieras y de capital de los integrantes del hogar
conjunto_de_datos_ingresos_jcf_enigh_2022_ns,Ingresos del programa Jóvenes Construyendo el Futuro 
"conjunto_de_datos_noagro_enigh_2022_ns	",Negocios no agropecuarios de los hogares
conjunto_de_datos_noagroimportes_enigh_2022_ns,Importe de los productos de los negocios no agrícolas del hogar 
conjunto_de_datos_poblacion_enigh_2022_ns,"	Características sociodemográficas de los integrantes del hogar"
"conjunto_de_datos_trabajos_enigh_2022_ns	",Condición de actividad de los integrantes del hogar de 12 o más años
"conjunto_de_datos_viviendas_enigh_2022_ns	",Características de las viviendas que habitan los integrantes del hogar
